AREA,ASSET TYPE,ASSET,ASSET DESCRIPTION,REPORT STATUS,ELECTRICAL (LV & HV) SYSTEMS,UTILITIES (POWERHOUSE) ,PIPELINES & DANGEROUS GOODS SYSTEMS,CIVIL & STRUCTURAL INFRASTRUCTURE SYSTEMS,CRANE SYSTEMS,TANK SYSTEMS,PRESSURE EQUIPMENT SYSTEMS,COMBUSTION SYSTEMS,FIRE PROTECTION SYSTEMS,COMBUSTIBLE DUST SYSTEMS,MOLTEN METAL SYSTEMS (ELECTRODE & CAST HOUSE FACILITIES),INSPECTOR,INSPECTION DATE
CARBON PLANT,STATIONS,STAT-ELBA-261-ES-001,ESTACAO DE ANODOS VERDES - SISTEMA J,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,STATIONS,STAT-ELBA-261-ES-002,ESTACAO DE ANODOS VERDES - SISTEMA K,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,STATIONS,STAT-ELBA-261-ES-003,ESTACAO DE ANODOS COZIDOS - SISTEMA D.,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,STATIONS,STAT-ELBA-261-ES-004,ESTACAO DE ANODOS COZIDOS - SISTEMA L,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,STATIONS,STAT-ELBA-261-ES-005,ESTACAO DE SAIDA DE ANODOS - SISTEMA  E,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,STATIONS,STAT-ELBA-262-ES-001,MANUSEIO DE ANODOS VERDES - SISTEMA P,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,STATIONS,STAT-ELBA-262-ES-002,MANUSEIO DE ANODOS COZIDOS -- SISTEMA S,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,STATIONS,STAT-ELBA-262-ES-003,MANUSEIO DE ANODOS COZIDOS - SISTEMA V,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,STATIONS,STAT-ELSA-232-ES-001,ESTACAO DE RECEPCAO DE BUTTS E EXPEDICAO DE ANODOS,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,STATIONS,STAT-ELSA-232-ES-003,ESTACAO DE LIMPEZA DE BUTTS,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,TANKS,TANK-ELBA-261L-TQ-011,TANQUE DE OLEO DIESEL BARE FAME,0%,N/A,N/A,SIM,SIM,N/A,SIM,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,TANKS,TANK-ELBA-261M-TQ-021,TANQUE DIARIO BBF 60 M3,0%,N/A,N/A,SIM,SIM,N/A,SIM,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,TANKS,TANK-ELBA-261M-TQ-023,TANQUE DE AGUA PRE-AQUECIDA 29 M3,0%,N/A,N/A,SIM,SIM,N/A,SIM,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,TANKS,TANK-ELFA-252A-TQ-001,TANQUE DE OLEO BPF,0%,N/A,N/A,SIM,SIM,N/A,SIM,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,TANKS,TANK-ELFA-254-TQ-001,TANQUE DE RESFRIAMENTO DE ANODOS,0%,N/A,N/A,N/A,SIM,N/A,SIM,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,COOLING TOWERS,TOWR-ELFA-232H-TR-001,TORRE DE REFRIGERACAO F-III,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,COOLING TOWERS,TOWR-ELFA-232H-TR-031,TORRE DE RESFRIAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,COOLING TOWERS,TOWR-ELFA-255J-TR-001,TORRE DE RESFRIAMENTO DE AGUA ALPINA,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,COOLING TOWERS,TOWR-ELFA-255-TR-001,TORRE DE RESFRIAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,COOLING TOWERS,TOWR-ELGE-COZI-261-TR-501,TORRE DE RESFRIAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,COOLING TOWERS,TOWR-ELGE-COZI-261-TR-502,TORRE DE RESFRIAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,COOLING TOWERS,TOWR-ELSA-232-TR-001,TORRE DE REFRIGERACAO INDUCTOTHERM,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,COOLING TOWERS,TOWR-ELSA-232-TR-002,TORRE DE REFRIGERACAO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,VESSELS,VESSEL-ELBA-232-TQ-001,TANQUE CRIOGENICO TM 1100,0%,N/A,N/A,N/A,N/A,N/A,SIM,SIM,N/A,N/A,N/A,N/A,,
CARBON PLANT,VESSELS,VESSEL-ELBA-261-FL-002,FILTRO DECANTADOR,0%,N/A,N/A,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,,
CARBON PLANT,VESSELS,VESSEL-ELBA-261-VA-001,RESERVATORIO PARA AR COMPRIMIDO,0%,N/A,N/A,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,,
CARBON PLANT,VESSELS,VESSEL-ELBA-261-VA-002,RESERVATORIO PARA AR COMPRIMIDO TQ-5001,0%,N/A,N/A,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,,
CARBON PLANT,VESSELS,VESS-ELPC-261-VA-001A,VASO DE PRESSAO,0%,N/A,N/A,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,,
CARBON PLANT,VESSELS,VESS-ELPC-261-VA-002A,VASO DE PRESSAO,0%,N/A,N/A,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,,
CASTHOUSE,BUILDINGS,BLDG-SMEL-134S-PI-001,ESTOCAGEM DE BORRAS,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,BUILDINGS,BLDG-CAIS-134G-PI-001,PREDIO ADMINISTRATIVO DO LINGOTAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,BUILDINGS,BLDG-CAIS-134-PI-001,PREDIO INDUSTRIAL E EQUIPAMENTOS AUXILIARES,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,OVERHEAD CRANES,CRAN-CAIS-134-PR-100,PONTE 1,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,OVERHEAD CRANES,CRAN-CAIS-134-PR-200,PONTE 2,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,OVERHEAD CRANES,CRAN-CAIS-134-PR-300,PONTE 5,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAIS-134-PR-004,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-001,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,DAYVID E RAUL,06/02/2024
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-002,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,DAYVID E RAUL,06/02/2024
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-003,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,DAYVID E RAUL,06/02/2024
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-004,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,DAYVID E RAUL,06/02/2024
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-005,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,DAYVID E RAUL,06/02/2024
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-006,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-007,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-008,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-009,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-010,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-011,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-012,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-013,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-014,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-015,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-016,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,HOISTS,HOIS-CAME-134-TL-017,134 - TALHAS - EQUIPAMENTO,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,GAUTSCHI,CAST-CAIS-134-MF-100,GAUTSCHI 1,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,SIM,,
CASTHOUSE,GAUTSCHI,CAST-CAIS-134-MF-200,GAUTSCHI 2,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,SIM,,
CASTHOUSE,GAUTSCHI,CAST-CAIS-134-MF-300,GAUTSCHI 3,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,SIM,,
CASTHOUSE,CONVEYORS,CONV-CAIS-134-TP-001,134 - TRANSPORTADOR - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,CONVEYORS,CONV-CAIS-134-TP-002,134 - TRANSPORTADOR - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,CONVEYORS,CONV-CAIS-134-TP-003,TRANSPORTADOR DE CAPSULA DE AMOSTRA,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,FILTER,FILT-CAGE-134J-FL-001,134 - FILTROS DO SISTEMA DE AGUA - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,FILTER,FILT-CAGE-134J-FL-002,134 - FILTROS DO SISTEMA DE AGUA - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,FILTER,FILT-CAGE-134J-FL-003,134 - FILTROS DO SISTEMA DE AGUA - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,FILTER,FILT-CAGE-134J-FL-004,134 - FILTROS DO SISTEMA DE AGUA - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,FILTER,FILT-CAGE-134L-FL-001,134 - FILTROS DO SISTEMA DE AGUA - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,FILTER,FILT-CAGE-134L-FL-002,134 - FILTROS DO SISTEMA DE AGUA - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,FURNACES,FURN-CAIS-134-FR-007,FORNO DE PRE-AQUECIMENTO DE CARGA SOLIDA MASTERFMFHT-FR,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,SIM,,
CASTHOUSE,FURNACES,FURN-CAIS-134-FR-100,FORNO 1,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,SIM,,
CASTHOUSE,FURNACES,FURN-CAIS-134-FR-200,FORNO 2,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,SIM,,
CASTHOUSE,FURNACES,FURN-CAIS-134-FR-300,FORNO 3,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,SIM,,
CASTHOUSE,FURNACES,FURN-CAIS-134-FR-400,FORNO 4,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,SIM,,
CASTHOUSE,FURNACES,FURN-CAIS-134-FR-500,FORNO 5,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,SIM,,
CASTHOUSE,FURNACES,FURN-CAIS-134-FR-600,FORNO 6,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,SIM,,
CASTHOUSE,TANKS,TANK-CAIS-134-TQ-007,TANQUE DE ARGONIO,0%,N/A,N/A,N/A,SIM,N/A,SIM,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,COOLING TOWERS,TOWR-CAGE-134J-TR-001@008,134 - TORRES DE RESFRIAMENTO - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,COOLING TOWERS,TOWR-CAGE-134L-TR-001@003,134 - TORRES DE RESFRIAMENTO - EQUIPAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,LIGHTING TOWER,TOWR-FALS-134G-IL-001,TORRE DE ILUMINAÇÃO DO PATIO DO LINGOTAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,LIGHTING TOWER,TOWR-FALS-134G-IL-002,TORRE DE ILUMINAÇÃO DO PATIO DO LINGOTAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,LIGHTING TOWER,TOWR-FALS-134G-IL-003,TORRE DE ILUMINAÇÃO DO PATIO DO LINGOTAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,LIGHTING TOWER,TOWR-FALS-134G-IL-004,TORRE DE ILUMINAÇÃO DO PATIO DO LINGOTAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,LIGHTING TOWER,TOWR-FALS-134G-IL-005,TORRE DE ILUMINAÇÃO DO PATIO DO LINGOTAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,LIGHTING TOWER,TOWR-FALS-134G-IL-006,TORRE DE ILUMINAÇÃO DO PATIO DO LINGOTAMENTO,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,UNLOADERS,ULDR-CAIS-134-DM-100,DERRAMADOR DO FORNO 1,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,SIM,,
CASTHOUSE,UNLOADERS,ULDR-CAIS-134-DM-300,DERRAMADOR DO FORNO 2 E 3,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,SIM,,
CASTHOUSE,UNLOADERS,ULDR-CAIS-134-DM-500,DERRAMADOR DO FORNO 4 E 5,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,SIM,,
CASTHOUSE,VESSELS,VESSEL-CAIS-134-VA-001,VASO RESERVATORIO DE AR COMPRIMIDO,0%,N/A,N/A,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,,
CASTHOUSE,VESSELS,VESSEL-CAIS-134-VA-002,VASO RESERVATORIO DE AR COMPRIMIDO,0%,N/A,N/A,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,,
CASTHOUSE,VESSELS,VESSEL-CAIS-134-VA-003,VASO RESERVATORIO DE AR COMPRIMIDO,0%,N/A,N/A,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,,
CASTHOUSE,,,ROTATIVA 1,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CASTHOUSE,,,ROTATIVA 2,0%,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,